Experiment,"w/l (exp, ave)","w/l (exp, std)",stretch (ave),stretch (std)
neonate_transverse,0.171,0.073,1.0675817620090808,0.03462040810355238
neonate_longitudinal,0.106,0.045,1.0434136224411088,0.020472472539820763
adult_transverse,0.244,0.072,1.102762052807318,0.03874466122895759
adult_longitudinal,0.094,0.043,1.0349531414058826,0.017651765118018026
