Experiment,"w/l (exp, ave)","w/l (exp, std)",stretch (ave),stretch (std)
nt,0.16695,0.03867874093090415,1.0664878204982091,0.018202520620154206
nl,0.09532,0.0431494148280136,1.0399299307102803,0.01979594018460552
at,0.23035,0.07300961123943432,1.0982140917626058,0.03971963504091733
al,0.091975,0.045775202530045314,1.0348256175614408,0.01909854350317245
