,4,8,12,16,20
F1,481.054,513.461,535.448,523.61,543.699
F2,487.004,544.273,593.988,592.611,595.981
F3,493.976,512.454,534.479,552.353,511.107
F4,500.047,539.144,548.532,537.387,552.629
F5,533.111,543.897,568.071,568.727,564.362
F6,508.486,523.104,542.421,543.492,550.539
