Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[78, 868]","[136, 612]",1,0,0.24912805,0
1,v(0.50a),"[78, 868]","[136, 612]",1.000159979,0.000517673,0.249108852,0.000257914
2,v(0.50a),"[78, 868]","[136, 612]",1.000319958,0.001054121,0.249090751,0.000525143
3,v(0.50a),"[78, 868]","[136, 612]",1.000560045,0.001845879,0.249064624,0.000919486
4,v(0.50a),"[78, 868]","[136, 612]",1.000920057,0.003021432,0.249026653,0.001504834
5,v(0.50a),"[78, 868]","[136, 612]",1.001459956,0.004760198,0.248971765,0.00237031
6,v(0.50a),"[78, 868]","[136, 612]",1.002269983,0.007348637,0.248891067,0.00365802
7,v(0.50a),"[78, 868]","[136, 612]",1.003484964,0.011194939,0.24877241,0.005569984
8,v(0.50a),"[78, 868]","[136, 612]",1.005307555,0.016907339,0.24860008,0.008406331
9,v(0.50a),"[78, 868]","[136, 612]",1.008041263,0.025359144,0.248355558,0.012596169
10,v(0.50a),"[78, 868]","[136, 612]",1.012141824,0.037794077,0.248016941,0.018747143
11,v(0.50a),"[78, 868]","[136, 612]",1.018292785,0.055932715,0.247565251,0.027693993
12,v(0.50a),"[78, 868]","[136, 612]",1.027519226,0.082053318,0.247014028,0.040536641
13,v(0.50a),"[78, 868]","[136, 612]",1.041358829,0.118915779,0.246438468,0.058610845
14,v(0.50a),"[78, 868]","[136, 612]",1.057358861,0.158359427,0.246090767,0.077941586
15,v(0.50a),"[78, 868]","[136, 137, 612]",1.073358774,0.193864046,0.246020091,0.0953889
16,v(0.50a),"[78, 868]","[136, 137, 612]",1.089358807,0.2271764,0.246169653,0.111847871
17,v(0.50a),"[78, 868]","[136, 137, 612]",1.105358839,0.258065454,0.246488953,0.127220567
18,v(0.50a),"[77, 78, 868]","[136, 137, 612]",1.121358871,0.286476845,0.246932993,0.14148117
19,v(0.50a),"[77, 78, 868]","[136, 137, 612]",1.137358785,0.313094716,0.247464135,0.154959426
20,v(0.50a),"[77, 868]","[136, 137, 612, 613]",1.153358817,0.337361001,0.248050591,0.167365191
21,v(0.50a),"[77, 868]","[136, 137, 612, 613]",1.159999967,0.347135963,0.248304141,0.172390594
