Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[112, 1099]","[545, 835]",1,8.95E-08,2.663283859,4.77E-07
1,v(0.50a),"[112, 1099]","[545, 835]",1.000159979,0.000350411,2.663128868,0.001866381
2,v(0.50a),"[112, 1099]","[545, 835]",1.000319958,0.000716012,2.662997751,0.003813476
3,v(0.50a),"[112, 1099]","[545, 835]",1.000560045,0.001265477,2.662804004,0.006739436
4,v(0.50a),"[112, 1099]","[545, 835]",1.000920057,0.002089602,2.662517023,0.0111272
5,v(0.50a),"[112, 1099]","[545, 835]",1.001459956,0.003324434,2.662091008,0.017699893
6,v(0.50a),"[112, 1099]","[545, 835]",1.002269983,0.005172625,2.661460597,0.027533476
7,v(0.50a),"[112, 1099]","[545, 835]",1.003484964,0.007935247,2.660532926,0.042223973
8,v(0.50a),"[112, 1099]","[545, 835]",1.005307555,0.012055634,2.659187525,0.064116382
9,v(0.50a),"[112, 1099]","[545, 835]",1.008041263,0.018183056,2.657273394,0.096634702
10,v(0.50a),"[112, 1099]","[545, 835]",1.012141824,0.027254282,2.654598317,0.144698341
11,v(0.50a),"[112, 1098, 1099]","[545, 835]",1.018292785,0.040383085,2.651026856,0.214113286
12,v(0.50a),"[112, 1098]","[545, 835]",1.027519226,0.060132627,2.64663529,0.318298265
13,v(0.50a),"[111, 1098]","[545, 835]",1.041358829,0.088209145,2.642028397,0.466102129
14,v(0.50a),"[111, 1098]","[545, 835]",1.057358861,0.118375176,2.639122974,0.624813292
15,v(0.50a),"[111, 1098]","[545, 835]",1.073358774,0.146702385,2.638205387,0.774062047
16,v(0.50a),"[110, 1097]","[545, 835]",1.089358807,0.173882529,2.638732071,0.917658811
17,v(0.50a),"[110, 1097]","[545, 835, 836]",1.105358839,0.198662707,2.640198273,1.04901787
18,v(0.50a),"[110, 1097]","[545, 546, 836]",1.121358871,0.221536851,2.642365378,1.170762612
19,v(0.50a),"[110, 1097]","[545, 546, 836]",1.12535882,0.227163967,2.642961705,1.200771332
20,v(0.50a),"[110, 1096]","[546, 836]",1.131358862,0.235570964,2.643966124,1.245683299
21,v(0.50a),"[109, 1096]","[546, 836]",1.140358806,0.247779261,2.645632331,1.311065647
22,v(0.50a),"[109, 1096]","[546, 836]",1.143733859,0.252167054,2.64627442,1.334606449
23,v(0.50a),"[109, 1096]","[546, 836]",1.14879632,0.258636288,2.647276464,1.369363517
24,v(0.50a),"[109, 1096]","[546, 836]",1.150694728,0.261029555,2.647656706,1.382233301
25,v(0.50a),"[109, 1096]","[546, 836]",1.151406646,0.26192241,2.6477997,1.387036156
26,v(0.50a),"[109, 1096]","[546, 836]",1.152474523,0.263256889,2.648015861,1.394216838
27,v(0.50a),"[109, 1096]","[546, 836]",1.154076338,0.26524734,2.648343905,1.404932351
28,v(0.50a),"[109, 1096]","[546, 836]",1.154677033,0.265990984,2.64846614,1.408936231
29,v(0.50a),"[109, 1096]","[546, 836]",1.155578017,0.267102702,2.64865251,1.414924484
30,v(0.50a),"[109, 1096]","[546, 836]",1.156929612,0.26876203,2.648934656,1.423866109
31,v(0.50a),"[109, 1096]","[546, 836]",1.157056332,0.268917472,2.648960118,1.424703317
32,v(0.50a),"[109, 1096]","[546, 836]",1.157056332,0.268917472,2.648960118,1.424703317
