Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[79, 869]","[135, 615, 616]",1,0.009394933,0.498999178,0.009376128
1,v(0.50a),"[79, 869]","[135, 615, 616]",1.000159979,0.009455849,0.49895446,0.009436076
2,v(0.50a),"[79, 869]","[135, 615, 616]",1.000319958,0.009555968,0.498913433,0.009535201
3,v(0.50a),"[79, 869]","[135, 615, 616]",1.000560045,0.009750484,0.498854261,0.009728141
4,v(0.50a),"[79, 869]","[135, 615, 616]",1.000920057,0.010144077,0.498768988,0.010119102
5,v(0.50a),"[79, 869]","[135, 615, 616]",1.001459956,0.010932674,0.498643212,0.010903007
6,v(0.50a),"[79, 869]","[135, 615, 616]",1.002269983,0.012460839,0.498458914,0.012422433
7,v(0.50a),"[79, 869]","[135, 615, 616]",1.003484964,0.01527044,0.498188999,0.015215131
8,v(0.50a),"[79, 869]","[135, 615, 616]",1.005307555,0.020079962,0.497796522,0.01999147
9,v(0.50a),"[79, 869]","[135, 615, 616]",1.008041263,0.027822274,0.4972351,0.027668423
10,v(0.50a),"[79, 869]","[135, 615, 616]",1.012141824,0.039722069,0.496457626,0.039440648
11,v(0.50a),"[79, 869]","[135, 615, 616]",1.018292785,0.057454647,0.495434493,0.056930028
12,v(0.50a),"[79, 869]","[135, 615, 616]",1.027519226,0.083220525,0.494197591,0.082254766
13,v(0.50a),"[79, 869]","[135, 616]",1.041358829,0.120408992,0.492943887,0.118709753
14,v(0.50a),"[79, 869]","[135, 616]",1.057358861,0.159082447,0.492257684,0.156619114
15,v(0.50a),"[79, 869]","[135, 616]",1.073358774,0.194859283,0.492219101,0.191826922
16,v(0.50a),"[78, 79, 869]","[135, 616]",1.089358807,0.227808762,0.4926673,0.224467856
17,v(0.50a),"[78, 869]","[135, 616]",1.105358839,0.257665187,0.493464779,0.254297389
18,v(0.50a),"[78, 869]","[135, 616]",1.121358871,0.286229931,0.49449752,0.283079981
19,v(0.50a),"[78, 868, 869]","[135, 616]",1.137358785,0.312158577,0.495678579,0.30946064
20,v(0.50a),"[78, 868]","[135, 136, 616]",1.153358817,0.336395212,0.496941381,0.334337402
21,v(0.50a),"[78, 868]","[135, 136, 616]",1.159999967,0.346163468,0.497479933,0.344418758
