Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[78, 868, 869]","[135, 607]",1,0.041648245,0.12451818,0.010371927
1,v(0.50a),"[78, 868, 869]","[135, 607]",1.000159979,0.041624084,0.124511534,0.010365357
2,v(0.50a),"[78, 868, 869]","[135, 607]",1.000319958,0.041603932,0.124505873,0.010359868
3,v(0.50a),"[78, 868, 869]","[135, 607]",1.000560045,0.041566528,0.124499061,0.010349987
4,v(0.50a),"[78, 868, 869]","[135, 607]",1.000920057,0.041516287,0.124490094,0.010336733
5,v(0.50a),"[78, 868, 869]","[135, 607]",1.001459956,0.041481628,0.124477486,0.010327058
6,v(0.50a),"[78, 868, 869]","[135, 607]",1.002269983,0.04152547,0.124459267,0.010336459
7,v(0.50a),"[78, 868, 869]","[135, 607]",1.003484964,0.041843826,0.124434377,0.010413621
8,v(0.50a),"[78, 868, 869]","[135, 607]",1.005307555,0.042756569,0.124398892,0.01063774
9,v(0.50a),"[78, 868, 869]","[135, 607]",1.008041263,0.045006255,0.124350073,0.011193062
10,v(0.50a),"[78, 868, 869]","[135, 607]",1.012141824,0.04998773,0.12428503,0.012425453
11,v(0.50a),"[78, 868, 869]","[135, 607]",1.018292785,0.059887377,0.124201266,0.014876176
12,v(0.50a),"[78, 868, 869]","[135, 607]",1.027519226,0.077326322,0.124108241,0.019193668
13,v(0.50a),"[78, 868, 869]","[135, 607]",1.041358829,0.10514332,0.124032607,0.0260824
14,v(0.50a),"[78, 868]","[135, 607]",1.057358861,0.168202202,0.12402667,0.041723118
15,v(0.50a),"[78, 868]","[135, 607]",1.073358774,0.194631515,0.12409218,0.048304498
16,v(0.50a),"[78, 868]","[135, 607]",1.089358807,0.220450008,0.124216812,0.054767194
17,v(0.50a),"[78, 868]","[135, 607]",1.105358839,0.245222291,0.124389141,0.06100598
18,v(0.50a),"[78, 868]","[135, 607]",1.121358871,0.268867472,0.124596816,0.067000062
19,v(0.50a),"[78, 868]","[135, 607]",1.137358785,0.291265915,0.124829311,0.072717047
20,v(0.50a),"[78, 868]","[135, 607]",1.153358817,0.312420623,0.125078483,0.078154195
21,v(0.50a),"[78, 868]","[135, 607]",1.159999967,0.320851332,0.125185281,0.080331728
