Cut Frame,Location,Nodes1,Nodes2,lambda_p,wOverlHalf,l,w
0,v(0.50a),"[85, 937]","[145, 680]",1,0.009863341,1.080552673,0.02131572
1,v(0.50a),"[85, 937]","[145, 680]",1.000159979,0.00987568,1.080446717,0.021340291
2,v(0.50a),"[85, 937]","[145, 680]",1.000319958,0.009913888,1.080356385,0.021421065
3,v(0.50a),"[85, 937]","[145, 680]",1.000560045,0.010017368,1.080221266,0.021641949
4,v(0.50a),"[85, 937]","[145, 680]",1.000920057,0.010271872,1.080020175,0.022187659
5,v(0.50a),"[85, 937]","[145, 680]",1.001459956,0.010857551,1.079726276,0.023446365
6,v(0.50a),"[85, 937]","[145, 680]",1.002269983,0.012114747,1.079295218,0.026150777
7,v(0.50a),"[85, 937]","[145, 680]",1.003484964,0.014592581,1.078664206,0.03148099
8,v(0.50a),"[85, 937]","[145, 680]",1.005307555,0.019041731,1.077758467,0.041044774
9,v(0.50a),"[85, 937]","[145, 680]",1.008041263,0.026396837,1.076470983,0.056830859
10,v(0.50a),"[85, 937]","[145, 680]",1.012141824,0.037858952,1.074696986,0.081373803
11,v(0.50a),"[85, 937]","[145, 680]",1.018292785,0.05504389,1.072377918,0.118055704
12,v(0.50a),"[85, 937]","[145, 680]",1.027519226,0.080086253,1.069611929,0.171322423
13,v(0.50a),"[85, 937]","[145, 680]",1.041358829,0.115613555,1.066862448,0.24668752
14,v(0.50a),"[84, 85, 937]","[145, 680]",1.057358861,0.153790653,1.065321778,0.327673064
15,v(0.50a),"[84, 937]","[145, 146, 680]",1.073358774,0.188154707,1.06508481,0.400801441
16,v(0.50a),"[84, 936, 937]","[146, 680, 681]",1.089358807,0.22123055,1.065795029,0.471572842
17,v(0.50a),"[84, 936]","[146, 681]",1.105358839,0.251115412,1.067137587,0.535949389
18,v(0.50a),"[84, 936]","[146, 681]",1.121358871,0.279098151,1.06889719,0.596654459
19,v(0.50a),"[84, 936]","[146, 681]",1.137358785,0.305132886,1.070939293,0.653557595
20,v(0.50a),"[84, 936]","[146, 681]",1.141358852,0.311363476,1.071472294,0.667234675
21,v(0.50a),"[84, 936]","[146, 147, 681]",1.147358775,0.320062316,1.072301838,0.686406819
22,v(0.50a),"[84, 936]","[146, 147, 681, 682]",1.156358838,0.333812893,1.07358942,0.71675598
23,v(0.50a),"[84, 936]","[146, 147, 681, 682]",1.159999967,0.339028389,1.074116026,0.728311653
