Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[60, 498, 499]","[253, 362]",1,0.007863844,0.561272104,0.008827513
1,v(0.50a),"[60, 498, 499]","[253, 362]",1.000159979,0.007822161,0.561207853,0.008779717
2,v(0.50a),"[60, 498, 499]","[253, 362]",1.000319958,0.007778867,0.561169637,0.008730528
3,v(0.50a),"[60, 498, 499]","[253, 362]",1.000560045,0.00776832,0.561112291,0.0087178
4,v(0.50a),"[60, 498, 499]","[253, 362]",1.000920057,0.007867705,0.561030023,0.008828037
5,v(0.50a),"[60, 498, 499]","[253, 362]",1.001459956,0.008264949,0.560906627,0.00927173
6,v(0.50a),"[60, 498, 499]","[253, 362]",1.002269983,0.009335604,0.560720663,0.010469333
7,v(0.50a),"[60, 498, 499]","[253, 362]",1.003484964,0.011650065,0.56044898,0.013058535
8,v(0.50a),"[60, 498, 499]","[253, 362]",1.005307555,0.015916921,0.560053045,0.01782864
9,v(0.50a),"[60, 498, 499]","[253, 362]",1.008041263,0.022973659,0.559488119,0.025706979
10,v(0.50a),"[59, 60, 498, 499]","[253, 362]",1.012141824,0.034324214,0.558694701,0.038353513
11,v(0.50a),"[59, 60, 498, 499]","[253, 362]",1.018292785,0.050970579,0.557624903,0.056844929
12,v(0.50a),"[59, 60, 498]","[253, 362]",1.027519226,0.076698779,0.556273447,0.085330989
13,v(0.50a),"[59, 60, 498]","[253, 362]",1.041358829,0.11054852,0.554786914,0.122661745
14,v(0.50a),"[59, 60, 498]","[253, 362]",1.057358861,0.146952877,0.553738338,0.162746884
15,v(0.50a),"[59, 498]","[253, 254, 362]",1.073358774,0.178461648,0.553268159,0.197474295
16,v(0.50a),"[59, 498]","[253, 254, 362]",1.089358807,0.209758223,0.5532484,0.232096803
17,v(0.50a),"[59, 498]","[254, 362]",1.105358839,0.239509176,0.553574153,0.265172178
18,v(0.50a),"[59, 498]","[254, 362]",1.121358871,0.266507896,0.554157586,0.295374745
19,v(0.50a),"[59, 498]","[254, 362]",1.137358785,0.291646486,0.554923956,0.323683244
20,v(0.50a),"[59, 497, 498]","[254, 362]",1.153358817,0.313497904,0.555814111,0.348493117
21,v(0.50a),"[58, 59, 497, 498]","[254, 362]",1.159999967,0.324178495,0.556205419,0.360619671
