Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[107, 987]","[500, 722]",1,1.22E-05,1.121910496,2.73E-05
1,v(0.50a),"[107, 987]","[500, 722]",1.000159979,0.000471887,1.121805266,0.00105873
2,v(0.50a),"[107, 987]","[500, 722]",1.000319958,0.000952262,1.121717357,0.002136337
3,v(0.50a),"[107, 987]","[500, 722]",1.000560045,0.001668624,1.121586546,0.003743013
4,v(0.50a),"[107, 987]","[500, 722]",1.000920057,0.002740001,1.12139174,0.006145228
5,v(0.50a),"[107, 987]","[500, 722]",1.001459956,0.004342872,1.12110447,0.009737625
6,v(0.50a),"[107, 987]","[500, 722]",1.002269983,0.006738499,1.120679125,0.015103389
7,v(0.50a),"[107, 987]","[500, 722]",1.003484964,0.01031307,1.120053724,0.023102386
8,v(0.50a),"[107, 987]","[500, 722]",1.005307555,0.015633393,1.119144746,0.034992059
9,v(0.50a),"[107, 987]","[500, 722]",1.008041263,0.023519973,1.117846783,0.052583453
10,v(0.50a),"[107, 987]","[500, 722]",1.012141824,0.035141016,1.116045084,0.078437915
11,v(0.50a),"[107, 987]","[500, 722]",1.018292785,0.052115082,1.113659644,0.116076927
12,v(0.50a),"[107, 987]","[500, 722]",1.027519226,0.07658404,1.110756538,0.170132446
13,v(0.50a),"[107, 987]","[500, 722]",1.041358829,0.111187987,1.107762214,0.246339702
14,v(0.50a),"[107, 986, 987]","[500, 501, 722]",1.057358861,0.147084034,1.105976632,0.32534301
15,v(0.50a),"[106, 107, 986]","[501, 722]",1.073358774,0.183241977,1.105561932,0.405170709
16,v(0.50a),"[106, 986]","[501, 722]",1.089358807,0.214463159,1.106109174,0.474439335
17,v(0.50a),"[106, 986]","[501, 722]",1.105358839,0.243909675,1.107303521,0.540164083
18,v(0.50a),"[106, 985, 986]","[501, 722]",1.121358871,0.270722821,1.108944443,0.600433135
19,v(0.50a),"[105, 106, 985]","[501, 722]",1.137358785,0.297861668,1.110857296,0.661763615
20,v(0.50a),"[105, 985]","[501, 722, 723]",1.153358817,0.320908479,1.112935396,0.71430081
21,v(0.50a),"[105, 985]","[501, 723]",1.159999967,0.329620935,1.113815669,0.734273924
