Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[84, 741, 742]","[375, 540]",1,0.00539397,0.841591356,0.009079038
1,v(0.50a),"[84, 741, 742]","[375, 540]",1.000159979,0.005344176,0.841515155,0.008994411
2,v(0.50a),"[84, 741, 742]","[375, 540]",1.000319958,0.005321477,0.841455339,0.00895557
3,v(0.50a),"[84, 741, 742]","[375, 540]",1.000560045,0.005369633,0.841367458,0.009035668
4,v(0.50a),"[84, 741, 742]","[375, 540]",1.000920057,0.005617154,0.841236209,0.009450706
5,v(0.50a),"[84, 741, 742]","[375, 540]",1.001459956,0.006311561,0.841039072,0.010616539
6,v(0.50a),"[84, 741, 742]","[375, 540]",1.002269983,0.007856426,0.840748623,0.013210558
7,v(0.50a),"[84, 741, 742]","[375, 540]",1.003484964,0.010741363,0.8403233,0.018052436
8,v(0.50a),"[84, 741, 742]","[375, 540]",1.005307555,0.015553958,0.839706138,0.026121508
9,v(0.50a),"[84, 741, 742]","[375, 540]",1.008041263,0.023067426,0.838826589,0.03869914
10,v(0.50a),"[83, 84, 741]","[375, 540]",1.012141824,0.03616055,0.837601092,0.060576233
11,v(0.50a),"[83, 84, 741]","[375, 540]",1.018292785,0.052884611,0.835968954,0.088419785
12,v(0.50a),"[83, 84, 741]","[375, 540]",1.027519226,0.077085611,0.833964388,0.128573309
13,v(0.50a),"[83, 741]","[375, 540]",1.041358829,0.111135915,0.831857262,0.184898435
14,v(0.50a),"[83, 741]","[375, 540]",1.057358861,0.14775575,0.830555264,0.245438632
15,v(0.50a),"[83, 741]","[375, 540]",1.073358774,0.181668492,0.830173279,0.301632655
16,v(0.50a),"[83, 741]","[375, 540]",1.089358807,0.213116723,0.830434048,0.353958766
17,v(0.50a),"[83, 741]","[375, 540]",1.105358839,0.242326729,0.831146242,0.4028179
18,v(0.50a),"[82, 83, 740, 741]","[375, 540, 541]",1.121358871,0.270033903,0.832168415,0.449427371
19,v(0.50a),"[82, 83, 740]","[375, 376, 541]",1.137358785,0.294642353,0.833457114,0.49114353
20,v(0.50a),"[82, 740]","[376, 541]",1.153358817,0.317562394,0.834905427,0.530269133
21,v(0.50a),"[82, 740]","[376, 541]",1.159999967,0.326869402,0.835528476,0.546217386
