Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[69, 746]","[118, 544, 545]",1,0.009294915,0.864442163,0.016069832
1,v(0.50a),"[69, 746]","[118, 544, 545]",1.000159979,0.009335396,0.864349283,0.016138086
2,v(0.50a),"[69, 746]","[118, 544, 545]",1.000319958,0.009403401,0.864276484,0.016254277
3,v(0.50a),"[69, 746]","[118, 544, 545]",1.000560045,0.0095544,0.864169673,0.016513245
4,v(0.50a),"[69, 746]","[118, 544, 545]",1.000920057,0.00988102,0.864012257,0.017074645
5,v(0.50a),"[69, 746]","[118, 544, 545]",1.001459956,0.010570381,0.863779824,0.018260964
6,v(0.50a),"[69, 746]","[118, 544, 545]",1.002269983,0.011962182,0.863437515,0.020657194
7,v(0.50a),"[69, 746]","[118, 545]",1.003484964,0.010916812,0.862935427,0.018841007
8,v(0.50a),"[69, 746]","[118, 545]",1.005307555,0.016354963,0.862210985,0.028202858
9,v(0.50a),"[69, 746]","[118, 545]",1.008041263,0.024466475,0.861177747,0.042139967
10,v(0.50a),"[69, 746]","[118, 545]",1.012141824,0.036443178,0.859745922,0.062663747
11,v(0.50a),"[69, 746]","[118, 545]",1.018292785,0.053940348,0.857854653,0.092545958
12,v(0.50a),"[69, 746]","[118, 545]",1.027519226,0.079134617,0.855544061,0.135406303
13,v(0.50a),"[69, 746]","[118, 545]",1.041358829,0.114696297,0.853123533,0.195700221
14,v(0.50a),"[69, 746]","[118, 545]",1.057358861,0.152756025,0.851641026,0.260186595
15,v(0.50a),"[69, 746]","[118, 545]",1.073358774,0.187874265,0.851258057,0.319858964
16,v(0.50a),"[69, 746]","[118, 119, 545]",1.089358807,0.219751846,0.851676579,0.374315
17,v(0.50a),"[69, 746]","[119, 545, 546]",1.105358839,0.251243358,0.85266428,0.428452473
18,v(0.50a),"[69, 746]","[119, 545, 546]",1.121358871,0.279140444,0.854021771,0.476784033
19,v(0.50a),"[68, 69, 746]","[119, 546]",1.137358785,0.304599183,0.855604626,0.52123294
20,v(0.50a),"[68, 746]","[119, 546]",1.153358817,0.328184586,0.857340796,0.562732069
21,v(0.50a),"[68, 745, 746]","[119, 546]",1.159999967,0.337211933,0.858083337,0.578711881
