Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[108, 1093]","[600, 838]",1,0,0.324897072,0
1,v(0.50a),"[108, 1093]","[600, 838]",1.000159979,0.000531597,0.324868747,0.000345399
2,v(0.50a),"[108, 1093]","[600, 838]",1.000319958,0.001076604,0.324844505,0.000699458
3,v(0.50a),"[108, 1093]","[600, 838]",1.000560045,0.001881092,0.324810349,0.001221997
4,v(0.50a),"[108, 1093]","[600, 838]",1.000920057,0.003074496,0.324760827,0.001996952
5,v(0.50a),"[108, 1093]","[600, 838]",1.001459956,0.004848843,0.324688276,0.003148725
6,v(0.50a),"[108, 1093]","[600, 837, 838]",1.002269983,0.018116414,0.324579494,0.011760433
7,v(0.50a),"[108, 1093]","[600, 837, 838]",1.003484964,0.020500259,0.324417217,0.013301274
8,v(0.50a),"[108, 1093, 1094]","[600, 837, 838]",1.005307555,0.017244745,0.324181049,0.011180839
9,v(0.50a),"[108, 1093]","[600, 837, 838]",1.008041263,0.032014329,0.3238452,0.020735374
10,v(0.50a),"[108, 1093]","[600, 837, 838]",1.012141824,0.043579302,0.323385944,0.028185867
11,v(0.50a),"[108, 1093]","[600, 838]",1.018292785,0.057072699,0.322782378,0.036844123
12,v(0.50a),"[108, 1093]","[600, 838]",1.027519226,0.083607971,0.322049213,0.053851762
13,v(0.50a),"[108, 1093]","[600, 838]",1.041358829,0.120916112,0.321296536,0.077699856
14,v(0.50a),"[107, 108, 1093]","[600, 838]",1.057358861,0.163493145,0.320867464,0.104919262
15,v(0.50a),"[107, 1093]","[600, 838]",1.073358774,0.200827773,0.320820615,0.128859379
16,v(0.50a),"[107, 1093]","[600, 601, 838]",1.089358807,0.23004917,0.321075462,0.147726287
17,v(0.50a),"[107, 1093]","[600, 601, 838]",1.105358839,0.261053899,0.321562995,0.167890547
18,v(0.50a),"[107, 1093]","[601, 838]",1.121358871,0.290489714,0.322224444,0.187205773
19,v(0.50a),"[107, 1093]","[601, 838]",1.137358785,0.317165566,0.32301208,0.204896618
20,v(0.50a),"[107, 1093]","[601, 838]",1.153358817,0.341959882,0.323883685,0.221510453
21,v(0.50a),"[107, 1093]","[601, 838]",1.159999967,0.351744219,0.324260274,0.228113354
